"year","sector","sales","tax","demand"
2000,"off-trade",9554.35095041131,2395.08553024281,7159.2654201685
2000,"on-trade",19686.7563479011,4268.91446975719,15417.8418781439
2001,"off-trade",10041.2164240059,2474.91252707848,7566.30389692738
2001,"on-trade",20700.0824169857,4480.08747292152,16219.9949440642
2002,"off-trade",10421.0175147377,2588.01163606559,7833.00587867207
2002,"on-trade",21185.8777596562,4708.98836393441,16476.8893957218
2003,"off-trade",10925.8878786786,2692.69211359114,8233.19576508742
2003,"on-trade",21766.4844681484,4872.30788640886,16894.1765817395
2004,"off-trade",11285.5814079598,2850.9887586169,8434.59264934291
2004,"on-trade",22274.4967724432,5025.0112413831,17249.4855310601
2005,"off-trade",11903.8616057974,2887.2752427655,9016.58636303187
2005,"on-trade",22750.8927160419,4973.7247572345,17777.1679588074
2006,"off-trade",12170.6580902054,2892.01022705502,9278.64786315041
2006,"on-trade",23359.1156001553,5020.98977294498,18338.1258272103
2007,"off-trade",12788.6839567161,3187.07791812476,9601.6060385913
2007,"on-trade",23021.7651050202,5114.92208187523,17906.843023145
2008,"off-trade",13301.5244243057,3321.04921098143,9980.47521332431
2008,"on-trade",22406.6610338163,5148.95078901857,17257.7102447978
2009,"off-trade",14151.4179895789,3713.01261096395,10438.405378615
2009,"on-trade",22140.35236388,5298.98738903605,16841.364974844
2010,"off-trade",14802.7777826641,3972.53175562589,10830.2460270382
2010,"on-trade",22186.6616740805,5424.56824437411,16762.0934297064
2011,"off-trade",15757.66492322,4291.74573265679,11465.9191905633
2011,"on-trade",23122.0506706268,5744.55426734321,17377.4964032836
2012,"off-trade",16218.4843315876,4388.23819796981,11830.2461336178
2012,"on-trade",23860.2005286191,5831.16180203018,18029.0387265889
2013,"off-trade",16943.4448150589,4690.76611047198,12252.6787045869
2013,"on-trade",23759.4006604209,5764.49974410802,17994.9009163129
2014,"off-trade",17418.8711236757,4749.81631169579,12669.0548119799
2014,"on-trade",24224.0221798314,5739.19010039421,18484.8320794372
2015,"off-trade",17779.9906896408,4807.4900032633,12972.5006863775
2015,"on-trade",24986.0472782104,5878.66553857093,19107.3817396395
2016,"off-trade",18074.3665039567,5035.96818587253,13038.3983180842
2016,"on-trade",25422.9858617407,6119.16179479747,19303.8240669433
2017,"off-trade",19254.1831407705,5286.60625651684,13967.5768842537
2017,"on-trade",25811.9694810121,6153.87783760694,19658.0916434052
2018,"off-trade",20456.5391149579,5701.37267335425,14755.1664416037
2018,"on-trade",26573.8841005867,6409.29960296575,20164.584497621
2019,"off-trade",20738.2632161472,5581.22368030414,15157.0395358431
2019,"on-trade",27274.4911064545,6256.34222837586,21018.1488780786
2020,"off-trade",25222.3384043376,8660.06845931489,16562.2699450227
2020,"on-trade",11262.2990304048,3445.81643838511,7816.48259201966
2021,"off-trade",24711.2826159766,8054.3855015075,16656.8971144691
2021,"on-trade",17320.1773020382,5061.3226430525,12258.8546589857
